"ISO","threshold","confirmation_lens","admin_level","ocv_cost_lb","ocv_cost_median","ocv_cost_ub"
"MWI",1e-04,"global-estimate","admin2",3364118.64071055,5157385.09733979,7835199.22830587
"MWI",1e-04,"no-estimate","admin2",8420716.91912815,13986834.6553263,17856150.8934198
"MWI",2e-04,"district-estimate","admin2",1304702.25082303,2733878.36640904,5411783.73000948
"MWI",2e-04,"global-estimate","admin2",432368.998716521,1791846.14811391,3835177.77781955
"MWI",2e-04,"no-estimate","admin2",4236070.04703686,6467968.92454718,8991060.89069733
"MWI",0.001,"district-estimate","admin2",0,0,275635.592633004
"MWI",0.001,"global-estimate","admin2",0,0,0
"MWI",0.001,"no-estimate","admin2",0,334361.00487852,1726233.23155057
"NAM",1e-04,"district-estimate","admin1",3144728.87715977,4271710.140811,6013552.1731116
"NAM",1e-04,"global-estimate","admin1",1126981.26365123,4271710.140811,6013552.1731116
"NAM",1e-04,"no-estimate","admin1",4271710.140811,5956844.01071684,6847234.10356065
"NAM",2e-04,"district-estimate","admin1",0,1544193.57212338,4413016.86807519
"NAM",2e-04,"global-estimate","admin1",0,1126981.26365123,5963622.91357141
"NAM",2e-04,"no-estimate","admin1",2671174.83577461,4271710.140811,6013552.1731116
